Job Titles,Department,Full or Part-Time,Gender,Annual Salary Bin,
SANITATION LABORER,STREETS & SAN,F,female,80-99,
SERGEANT,POLICE,F,male,120-139,
OPERATING ENGINEER-GROUP A,WATER MGMNT,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
AVIATION SECURITY OFFICER,AVIATION,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,female,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
FIREFIGHTER,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
AVIATION SECURITY OFFICER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,100-119,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,female,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
CAPTAIN-EMT,FIRE,F,male,140+,
SERGEANT,POLICE,F,male,120-139,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,60-79,
PARAMEDIC,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
OPERATING ENGINEER-GROUP A,AVIATION,F,male,100-119,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
OPERATING ENGINEER-GROUP C,AVIATION,F,male,100-119,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
LIEUTENANT,FIRE,F,male,120-139,
AVIATION SECURITY OFFICER,AVIATION,F,female,60-79,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
SERGEANT,POLICE,F,male,100-119,
CONSTRUCTION LABORER,WATER MGMNT,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
HOISTING ENGINEER,WATER MGMNT,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
CONSTRUCTION LABORER,AVIATION,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,female,80-99,
ADMINISTRATIVE ASST II,PUBLIC LIBRARY,F,female,40-59,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
AVIATION SECURITY OFFICER,AVIATION,F,male,40-59,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
ADMINISTRATIVE ASST II,PUBLIC LIBRARY,F,female,60-79,
OPERATING ENGINEER-GROUP C,AVIATION,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
AVIATION SECURITY OFFICER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
FIREFIGHTER,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
LIBRARY PAGE,PUBLIC LIBRARY,P,male,0-39,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
AVIATION SECURITY OFFICER,AVIATION,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
LIBRARIAN I,PUBLIC LIBRARY,F,female,40-59,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,female,0-39,
AVIATION SECURITY OFFICER,AVIATION,F,male,40-59,
LIEUTENANT-EMT,FIRE,F,male,120-139,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
OPERATING ENGINEER-GROUP A,DAIS,F,male,100-119,
ELECTRICAL MECHANIC,WATER MGMNT,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,40-59,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,female,0-39,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,female,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,female,60-79,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
LIEUTENANT,POLICE,F,male,140+,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
SERGEANT,POLICE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
SERGEANT,POLICE,F,male,120-139,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
DETENTION AIDE,POLICE,F,female,60-79,
DETENTION AIDE,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,40-59,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
MACHINIST (AUTOMOTIVE),DAIS,F,male,100-119,
DETENTION AIDE,POLICE,F,female,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
LIBRARY PAGE,PUBLIC LIBRARY,P,female,0-39,
POOL MOTOR TRUCK DRIVER,AVIATION,F,female,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,female,60-79,
PARAMEDIC I/C,FIRE,F,male,100-119,
PARAMEDIC I/C,FIRE,F,male,100-119,
GENERAL LABORER - DSS,STREETS & SAN,F,female,40-59,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,male,0-39,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
MOTOR TRUCK DRIVER,PUBLIC LIBRARY,F,male,80-99,
PARAMEDIC I/C,FIRE,F,female,80-99,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,40-59,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,male,0-39,
SERGEANT,POLICE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
LIBRARIAN I,PUBLIC LIBRARY,F,male,40-59,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
SERGEANT,POLICE,F,female,120-139,
LIEUTENANT,POLICE,F,male,120-139,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,40-59,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
MACHINIST (AUTOMOTIVE),DAIS,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
ELECTRICAL MECHANIC,DAIS,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
DETENTION AIDE,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,female,60-79,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
GENERAL LABORER - DSS,STREETS & SAN,F,female,40-59,
SANITATION LABORER,STREETS & SAN,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
LIBRARIAN I,PUBLIC LIBRARY,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,female,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,female,40-59,
PARAMEDIC,FIRE,F,female,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,male,0-39,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,female,80-99,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
MOTOR TRUCK DRIVER,TRANSPORTN,F,male,60-79,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR II,OEMC,F,female,40-59,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
CONSTRUCTION LABORER,AVIATION,F,male,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
LIBRARIAN I,PUBLIC LIBRARY,F,female,80-99,
CONSTRUCTION LABORER,WATER MGMNT,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,60-79,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
LIEUTENANT-EMT,FIRE,F,male,120-139,
PARAMEDIC,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,40-59,
FIRE ENGINEER-EMT,FIRE,F,male,100-119,
CAPTAIN-EMT,FIRE,F,male,140+,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,male,0-39,
POLICE OFFICER,POLICE,F,male,80-99,
MOTOR TRUCK DRIVER,TRANSPORTN,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,female,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
PLUMBER,WATER MGMNT,F,male,100-119,
LIEUTENANT-EMT,FIRE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,40-59,
GENERAL LABORER - DSS,STREETS & SAN,F,male,40-59,
POLICE OFFICER,POLICE,F,female,80-99,
SERGEANT,POLICE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,40-59,
POLICE OFFICER,POLICE,F,male,60-79,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,female,80-99,
FIREFIGHTER/PARAMEDIC,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,60-79,
MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
PARAMEDIC I/C,FIRE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
HOISTING ENGINEER,TRANSPORTN,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
MOTOR TRUCK DRIVER,STREETS & SAN,F,male,60-79,
ELECTRICAL MECHANIC,WATER MGMNT,F,male,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
PARAMEDIC,FIRE,F,female,80-99,
SANITATION LABORER,STREETS & SAN,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT,FIRE,F,male,100-119,
HOISTING ENGINEER,WATER MGMNT,F,female,100-119,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,female,80-99,
SERGEANT,POLICE,F,male,120-139,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,60-79,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FIREFIGHTER-EMT (RECRUIT),FIRE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,female,0-39,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,female,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POOL MOTOR TRUCK DRIVER,WATER MGMNT,F,male,60-79,
ELECTRICAL MECHANIC,WATER MGMNT,F,male,100-119,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE COMMUNICATIONS OPERATOR I,OEMC,F,female,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
DETENTION AIDE,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POOL MOTOR TRUCK DRIVER,AVIATION,F,male,60-79,
POLICE OFFICER,POLICE,F,male,80-99,
FOSTER GRANDPARENT,FAMILY & SUPPORT,P,male,0-39,
FIREFIGHTER-EMT,FIRE,F,male,80-99,
SERGEANT,POLICE,F,male,120-139,
SERGEANT,POLICE,F,male,120-139,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,male,100-119,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
POLICE OFFICER,POLICE,F,male,60-79,
POLICE OFFICER,POLICE,F,female,80-99,
TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,female,0-39,
SANITATION LABORER,STREETS & SAN,F,female,80-99,
POLICE OFFICER,POLICE,F,male,80-99,
POLICE OFFICER,POLICE,F,female,80-99,
